FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48f8,Kara,Kozah,Kozah 1,Commune De Kara,Soundoulow,EP CS Prive Laic All School Ga,Néant,"{Mercredi,Mardi,Lundi,Jeudi,Vendredi}",Ecole primaire,Prive - individuel,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.2163030609589196 9.524877314256226)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48f7,Kara,Kozah,Kozah 1,Commune De Kara,Soundoulow,EP CS Prive Laic All School Gb,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Prive - individuel,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.2163434432925597 9.524878987234992)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48f6,Kara,Kozah,Kozah 1,Commune De Kara,Tomde marche,EPP Tomde Marche Ga,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine public de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.2074061002026804 9.56351313099404)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48f5,Kara,Kozah,Kozah 1,Commune De Kara,Atteda,EPL Centre Des Aveugles Kara,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Domaine Prive de l'Etat,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.2086750000000015 9.507623333333337)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48f4,Kara,Kozah,Kozah 1,Commune De Kara,Atteda,JEP Atteda Gb,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - Collectivite coutumiere,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.2079867783062899 9.508630058005837)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48f3,Savanes,Tandjoaré,Tandjoaré 2,Tampialime,Soak,JEP Tampialim Gb,Nsp,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Jardin (maternelle),Domaine public de l'Etat,IEPP Tandjoaré,Non,MEPSTA,POINT (-0.0132113737213399 10.76425860460777)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48f2,Kara,Kozah,Kozah 1,Commune De Kara,Dongoyo,EPE Baptiste JErusalem,Nsp,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Prive - entreprise,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.1774908687140289 9.53775513942998)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48f1,Kara,Kozah,Kozah 1,Commune De Kara,Chaminade,EP Ad Kara Chaminade,S/c MISSION AD KARA BP02,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",Ecole primaire,autre,IEPP Kozah-Centre,Oui,MEPSTA,POINT (1.1917548855796578 9.562892358257415)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48f0,Kara,Kozah,Kozah 1,Commune De Kara,Agnaram,EPI Al Hayriya,90128326,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Ecole primaire,Prive - Collectivite coutumiere,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.2032737457049627 9.536230773370841)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-48ef,Kara,Kozah,Kozah 1,Commune De Kara,Cofac,JEE Kara-ville,BP 02 KARA,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",Jardin (maternelle),Prive - individuel,IEPP Kozah-Centre,Non,MEPSTA,POINT (1.1926289571810333 9.549330181354433)
