indicator_id,country_id,year,type,metadata
#indicator+code,#country+code,#date+year,#description+type,#description
CR.1,TGO,1991,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,1992,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,1993,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,1994,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,1995,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,1996,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,1997,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,1998,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,1999,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2000,Source:Data sources,Togo MICS 2000 (GEMR).
CR.1,TGO,2001,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2002,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2003,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2004,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2005,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
CR.1,TGO,2006,Source:Data sources,Togo MICS 2006. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.
CR.1,TGO,2007,Source:Data sources,https://education-estimates.org/completion/data/; extracted on 25 January 2024 (GEMR)
