No.,Nom du champ,Question,Description,Type du champ
98,fontaine_ext_type,"Si oui, quel type ?",xsd:string,string
99,fontaine_ext_type_autre,Autre type de fontaines extérieures,xsd:string,string
100,transport,Y a-t-il un système de transport scolaire ?,xsd:string,string
101,transport_type,Quel type de transport?,xsd:string,string
102,transport_service,Année mise en service du transport scolaire,xsd:int,int
103,transport_org,Quel organisme s'occupe du transport scolaire?,xsd:string,string
104,transport_subv,Comment le transport scolaire est-il subventionné ?,xsd:string,string
105,cantine,Y a-t-il une cantine?,xsd:string,string
106,rampe_handicape,Y a-t-il des rampes pour faciliter l'accès aux handicapés ?,xsd:string,string
107,internet,Y a-t-il un réseau internet dédié?,xsd:string,string
108,internet_type,"Si oui, type d'accès dédié ?",xsd:string,string
109,internet_type_autre,Autre type d'internet dédié,xsd:string,string
110,internet_reception,Recevez vous internet ?,xsd:string,string
111,internet_reception_type,"Si oui, quel type ?",xsd:string,string
112,internet_reception_type_autre,Autre type de réception internet,xsd:string,string
113,logement_fonction,L'établissement est-il dôté de logement de fonction ?,xsd:string,string
114,logement_fonction_nbr,"Si oui, combien ?",xsd:int,int
115,logement_fonction_utilisation,"Si oui, utilisés par qui?",xsd:string,string
116,elec_acces,Y a-t-il accès à l'électricité ?,xsd:string,string
117,elec_source,"Si oui, quelle source d'électricité ?",xsd:string,string
118,elec_source_autre,Autre source d'électricité,xsd:string,string
119,elec_qualite,"Si oui, qualité d'accès ?",xsd:string,string
120,elec_acces_temps,"Si oui, temps d'accès à l'électricité",xsd:string,string
121,eleve_nbr,Nombre total d'élèves,xsd:int,int
122,fille_nbr,Nombre total de filles,xsd:int,int
123,garcon_nbr,Nombre total de garçons,xsd:int,int
124,eleve_age,Tranche d'âge des élèves (du plus petit au plus grand),xsd:string,string
125,eleve_tranchejardin,Nombre total d'élèves de 4 à 5 ans,xsd:int,int
126,eleve_moinsquatre,Nombre total d'élèves de moins de 4 ans,xsd:int,int
127,eleve_pluscinq,Nombre total d'élèves de plus de 5 ans,xsd:int,int
128,eleve_quatre,Nombre total d'élèves de 4 ans,xsd:int,int
129,eleve_cinq,Nombre total d'élèves de 5 ans,xsd:int,int
130,eleve_trancheprimaire,Nombre total d'élèves de 6 à 11 ans,xsd:int,int
131,eleve_moinssix,Nombre total d'élèves de moins de 6 ans,xsd:int,int
