"indicateur","région","sexe","Unit","Date","Value"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Total","%","2020","57.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Total","%","2022","84.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Masculin","%","2014","72.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Masculin","%","2015","58.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Masculin","%","2016","85.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Masculin","%","2017","57.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Masculin","%","2018","54.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Masculin","%","2019","77.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Masculin","%","2020","58.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Masculin","%","2021","81.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Masculin","%","2022","85.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Féminin","%","2014","66.2"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Féminin","%","2015","49.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Féminin","%","2016","84.9"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Féminin","%","2017","52.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Féminin","%","2018","50.8"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Féminin","%","2019","71.4"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Féminin","%","2020","55.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Féminin","%","2021","79.3"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Maritime","Féminin","%","2022","83.7"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Total","%","2014","49.5"
"Taux de réussite au BACI par région et par sexe (%) (série A)","Plateaux","Total","%","2015","49.1"
