FID,region_nom_bdd,prefecture_nom_bdd,commune_nom_bdd,canton_nom_bdd,nom_localite,etablissement_nom,etab_adr,ouverture_jour,etablissement_categorie,terrain,inspection_tutelle,terrain_sport,ministere_tutelle,geometry
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2844,Plateaux,Agou,Agou 1,Kati,Xevikodzi,College Saint Thomas D'aquin,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,autre,IESG Kpalimé,Oui,MEPSTA,POINT (0.8392099589491956 6.88405974596869)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2843,Plateaux,Agou,Agou 1,Agou-Nyogbo-Agbétiko,Nyogbo nord,CEG Agou Nyogbo Agbetiko,BP 56,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kpalimé,Oui,MEPSTA,POINT (0.7364608570404565 6.900644360643913)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2842,Plateaux,Agou,Agou 1,Agou-Akplolo,Tonu,CEG Akplolo,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kpalimé,Non,MEPSTA,POINT (0.7780020465774704 6.890334185885475)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2841,Plateaux,Agou,Agou 1,Agou-Iboé,Avedze,CEG Agou Avedze,S/c BP 56 kpalimé,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",College,Domaine public de l'Etat,IESG Kpalimé,Non,MEPSTA,POINT (0.7839650865702265 6.865668818345928)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-2840,Plateaux,Agou,Agou 1,Agou-Kébo,Kebo dogbadzi,CEG Agou Kebo-toe,BP 53,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kpalimé,Non,MEPSTA,POINT (0.7496694378489045 6.851919778205012)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-283f,Plateaux,Agou,Agou 1,Agou-Tavié,Agou gare,CEG Agou Gare,BP 54 AGOU,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kpalimé,Oui,MEPSTA,POINT (0.7138375953383131 6.83791084123095)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-283e,Plateaux,Agou,Agou 1,Agou-Tavié,Agou apegame,CEG Agou Apegame,BP 57,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kpalimé,Non,MEPSTA,POINT (0.7281631220303464 6.858378234617113)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-283d,Plateaux,Agou,Agou 1,Agou-Tavié,Agou tavie,CES Jb Rimle,BP 78 AGOU GARE,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine Prive de l'Etat,IESG Kpalimé,Oui,MEPSTA,POINT (0.7265684114205737 6.844241763265562)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-283c,Plateaux,Agou,Agou 1,Gadja,Avetonou,Lycée Avetonou College,Néant,"{Vendredi,Jeudi,Mercredi,Mardi,Lundi}",College,Domaine public de l'Etat,IESG Kpalimé,Oui,MEPSTA,POINT (0.7979671788482169 6.8033103519971325)
_mview_educ_etablissements_scolaires.fid--830921d_193db4998a0_-283b,Plateaux,Agou,Agou 1,Gadja,Gadjagan,CEG Gadjagan,Néant,"{Lundi,Mardi,Mercredi,Jeudi,Vendredi}",College,Domaine public de l'Etat,IESG Kpalimé,Oui,MEPSTA,POINT (0.7701352783678393 6.827261153267212)
