"indicateur","libellés","sexe","Unit","Date","Value"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","M","Nombre","2014","1011"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","M","Nombre","2015","903"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","M","Nombre","2016","1043"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","M","Nombre","2017","1018"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESA","M","Nombre","2018","982"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","TOTAL","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","TOTAL","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","TOTAL","Nombre","2015","406"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","TOTAL","Nombre","2016","423"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","TOTAL","Nombre","2017","417"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","TOTAL","Nombre","2018","408"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","F","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","F","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","F","Nombre","2015","377"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","F","Nombre","2016","396"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","F","Nombre","2017","392"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","F","Nombre","2018","388"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","M","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","M","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","M","Nombre","2015","29"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","M","Nombre","2016","27"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","M","Nombre","2017","25"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESAAD","M","Nombre","2018","20"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","TOTAL","Nombre","2013","339"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","TOTAL","Nombre","2014","395"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","TOTAL","Nombre","2015","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","TOTAL","Nombre","2016","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","TOTAL","Nombre","2017","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","TOTAL","Nombre","2018","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","F","Nombre","2013","313"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","F","Nombre","2014","364"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","F","Nombre","2015","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","F","Nombre","2016","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","F","Nombre","2017","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","F","Nombre","2018","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","M","Nombre","2013","26"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","M","Nombre","2014","31"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","M","Nombre","2015","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","M","Nombre","2016","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","M","Nombre","2017","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESSD","M","Nombre","2018","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","TOTAL","Nombre","2013","838"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","TOTAL","Nombre","2014","994"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","TOTAL","Nombre","2015","1005"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","TOTAL","Nombre","2016","990"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","TOTAL","Nombre","2017","914"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","TOTAL","Nombre","2018","756"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","F","Nombre","2013","241"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","F","Nombre","2014","287"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","F","Nombre","2015","283"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","F","Nombre","2016","287"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","F","Nombre","2017","288"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","F","Nombre","2018","235"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","M","Nombre","2013","597"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","M","Nombre","2014","707"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","M","Nombre","2015","722"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","M","Nombre","2016","703"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","M","Nombre","2017","626"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ESTBA","M","Nombre","2018","521"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","TOTAL","Nombre","2013","10254"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","TOTAL","Nombre","2014","9786"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","TOTAL","Nombre","2015","10405"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","TOTAL","Nombre","2016","12328"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","TOTAL","Nombre","2017","13656"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","TOTAL","Nombre","2018","14686"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","F","Nombre","2013","2434"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","F","Nombre","2014","2455"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","F","Nombre","2015","2679"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","F","Nombre","2016","3562"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","F","Nombre","2017","4244"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","F","Nombre","2018","4935"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","M","Nombre","2013","7820"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","M","Nombre","2014","7331"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","M","Nombre","2015","7726"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","M","Nombre","2016","8766"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","M","Nombre","2017","9412"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","M","Nombre","2018","9751"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","TOTAL","Nombre","2013","5703"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","TOTAL","Nombre","2014","5288"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","TOTAL","Nombre","2015","5852"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","TOTAL","Nombre","2016","6593"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","TOTAL","Nombre","2017","6638"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","TOTAL","Nombre","2018","7117"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","F","Nombre","2013","1770"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","F","Nombre","2014","1657"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","F","Nombre","2015","1913"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","F","Nombre","2016","2221"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","F","Nombre","2017","2333"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","F","Nombre","2018","2665"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","M","Nombre","2013","3933"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","M","Nombre","2014","3631"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","M","Nombre","2015","3939"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","M","Nombre","2016","4372"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","M","Nombre","2017","4305"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDD","M","Nombre","2018","4452"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","TOTAL","Nombre","2013","5309"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","TOTAL","Nombre","2014","5196"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","TOTAL","Nombre","2015","5535"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","TOTAL","Nombre","2016","6439"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","TOTAL","Nombre","2017","6928"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","TOTAL","Nombre","2018","8622"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","F","Nombre","2013","840"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","F","Nombre","2014","819"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","F","Nombre","2015","949"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","F","Nombre","2016","1223"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","F","Nombre","2017","1258"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","F","Nombre","2018","1796"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","M","Nombre","2013","4469"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","M","Nombre","2014","4377"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","M","Nombre","2015","4586"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","M","Nombre","2016","5216"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","M","Nombre","2017","5670"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FDS","M","Nombre","2018","6826"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","TOTAL","Nombre","2013","16664"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","TOTAL","Nombre","2014","15704"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","TOTAL","Nombre","2015","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","TOTAL","Nombre","2016","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","TOTAL","Nombre","2017","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","TOTAL","Nombre","2018","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","F","Nombre","2013","4994"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","F","Nombre","2014","4735"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","F","Nombre","2015","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","F","Nombre","2016","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","F","Nombre","2017","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","F","Nombre","2018","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","M","Nombre","2013","11670"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","M","Nombre","2014","10969"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","M","Nombre","2015","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","M","Nombre","2016","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","M","Nombre","2017","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","M","Nombre","2018","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","TOTAL","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","TOTAL","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","TOTAL","Nombre","2015","6178"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","TOTAL","Nombre","2016","7243"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","TOTAL","Nombre","2017","7238"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","TOTAL","Nombre","2018","7829"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","F","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","F","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","F","Nombre","2015","2022"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","F","Nombre","2016","2471"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","F","Nombre","2017","2463"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","F","Nombre","2018","2992"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","M","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","M","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","M","Nombre","2015","4156"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","M","Nombre","2016","4772"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","M","Nombre","2017","4775"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLLA","M","Nombre","2018","4837"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","TOTAL","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","TOTAL","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","TOTAL","Nombre","2015","9916"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","TOTAL","Nombre","2016","11180"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","TOTAL","Nombre","2017","10735"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","TOTAL","Nombre","2018","10953"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","F","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","F","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","F","Nombre","2015","2870"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","F","Nombre","2016","3329"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","F","Nombre","2017","3154"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","F","Nombre","2018","3386"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","M","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","M","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","M","Nombre","2015","7046"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","M","Nombre","2016","7851"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","M","Nombre","2017","7581"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSHS","M","Nombre","2018","7567"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","TOTAL","Nombre","2013","1387"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","TOTAL","Nombre","2014","1583"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","TOTAL","Nombre","2015","1741"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","TOTAL","Nombre","2016","1609"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","TOTAL","Nombre","2017","1814"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","TOTAL","Nombre","2018","1936"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","F","Nombre","2013","304"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","F","Nombre","2014","382"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","F","Nombre","2015","467"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","F","Nombre","2016","414"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","F","Nombre","2017","503"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","F","Nombre","2018","565"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","M","Nombre","2013","1083"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","M","Nombre","2014","1201"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","M","Nombre","2015","1274"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","M","Nombre","2016","1195"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","M","Nombre","2017","1311"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","M","Nombre","2018","1371"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","TOTAL","Nombre","2013","436"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","TOTAL","Nombre","2014","435"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","TOTAL","Nombre","2015","445"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","TOTAL","Nombre","2016","395"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","TOTAL","Nombre","2017","380"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","TOTAL","Nombre","2018","378"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","F","Nombre","2013","162"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","F","Nombre","2014","155"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","F","Nombre","2015","169"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","F","Nombre","2016","145"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","F","Nombre","2017","153"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","F","Nombre","2018","167"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","M","Nombre","2013","274"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","M","Nombre","2014","280"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","M","Nombre","2015","276"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","M","Nombre","2016","250"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","M","Nombre","2017","227"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","INSE","M","Nombre","2018","211"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","TOTAL","Nombre","2013","269"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","TOTAL","Nombre","2014","287"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","TOTAL","Nombre","2015","301"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","TOTAL","Nombre","2016","285"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","TOTAL","Nombre","2017","287"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","TOTAL","Nombre","2018","268"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","F","Nombre","2013","172"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","F","Nombre","2014","177"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","F","Nombre","2015","185"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","F","Nombre","2016","177"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","F","Nombre","2017","182"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","F","Nombre","2018","159"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","M","Nombre","2013","97"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","M","Nombre","2014","110"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","M","Nombre","2015","116"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","M","Nombre","2016","108"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","M","Nombre","2017","105"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISICA","M","Nombre","2018","109"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","TOTAL","Nombre","2013","266"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","TOTAL","Nombre","2014","308"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","TOTAL","Nombre","2015","311"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","TOTAL","Nombre","2016","288"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","TOTAL","Nombre","2017","266"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","TOTAL","Nombre","2018","268"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","F","Nombre","2013","80"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","F","Nombre","2014","88"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","F","Nombre","2015","101"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","F","Nombre","2016","100"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","F","Nombre","2017","94"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","F","Nombre","2018","118"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","M","Nombre","2013","186"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","M","Nombre","2014","220"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","M","Nombre","2015","210"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","M","Nombre","2016","188"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","M","Nombre","2017","172"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","IUTG","M","Nombre","2018","150"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","TOTAL","Nombre","2013","43468"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","TOTAL","Nombre","2014","41918"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Ul","TOTAL","Nombre","2015","43969"
