"indicateur","libellés","sexe","Unit","Date","Value"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","M","Nombre","2017","2473"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FASEG","M","Nombre","2018","2802"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","TOTAL","Nombre","2013","391"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","TOTAL","Nombre","2014","421"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","TOTAL","Nombre","2015","498"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","TOTAL","Nombre","2016","726"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","TOTAL","Nombre","2017","1046"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","TOTAL","Nombre","2018","1391"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","F","Nombre","2013","18"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","F","Nombre","2014","22"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","F","Nombre","2015","34"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","F","Nombre","2016","61"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","F","Nombre","2017","105"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","F","Nombre","2018","171"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","M","Nombre","2013","373"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","M","Nombre","2014","399"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","M","Nombre","2015","464"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","M","Nombre","2016","665"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","M","Nombre","2017","941"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FAST","M","Nombre","2018","1220"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","TOTAL","Nombre","2013","7928"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","TOTAL","Nombre","2014","7161"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","TOTAL","Nombre","2015","6479"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","TOTAL","Nombre","2016","8063"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","TOTAL","Nombre","2017","8888"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","TOTAL","Nombre","2018","10238"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","F","Nombre","2013","1672"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","F","Nombre","2014","1582"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","F","Nombre","2015","1448"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","F","Nombre","2016","1955"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","F","Nombre","2017","2216"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","F","Nombre","2018","2895"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","M","Nombre","2013","6256"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","M","Nombre","2014","5579"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","M","Nombre","2015","5031"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","M","Nombre","2016","6108"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","M","Nombre","2017","6672"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FLESH","M","Nombre","2018","7343"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","TOTAL","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","TOTAL","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","TOTAL","Nombre","2015","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","TOTAL","Nombre","2016","74"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","TOTAL","Nombre","2017","136"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","TOTAL","Nombre","2018","171"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","F","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","F","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","F","Nombre","2015","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","F","Nombre","2016","12"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","F","Nombre","2017","30"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","F","Nombre","2018","35"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","M","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","M","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","M","Nombre","2015","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","M","Nombre","2016","62"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","M","Nombre","2017","106"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","FSS","M","Nombre","2018","136"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","TOTAL","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","TOTAL","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","TOTAL","Nombre","2015","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","TOTAL","Nombre","2016","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","TOTAL","Nombre","2017","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","TOTAL","Nombre","2018","30"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","F","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","F","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","F","Nombre","2015","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","F","Nombre","2016","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","F","Nombre","2017","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","F","Nombre","2018","4"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","M","Nombre","2013","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","M","Nombre","2014","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","M","Nombre","2015","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","M","Nombre","2016","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","M","Nombre","2017","0"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","ISMA","M","Nombre","2018","26"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","TOTAL","Nombre","2013","13089"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","TOTAL","Nombre","2014","12464"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","TOTAL","Nombre","2015","11943"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","TOTAL","Nombre","2016","14410"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","TOTAL","Nombre","2017","16379"
"Effectifs des étudiants des universités publiques par Faculté_Ecole_Institut et par Sexe","TOTAL Uk","TOTAL","Nombre","2018","18250"
