indicator_id,country_id,year,type,metadata
#indicator+code,#country+code,#date+year,#description+type,#description
MYS.1T8.AG25T99,TGO,2009,Source:Data sources,Source: ILO (International Labor Office) survey on child labor
MYS.1T8.AG25T99,TGO,2011,Source:Data sources,Source: QUIBB Survey
MYS.1T8.AG25T99,TGO,2017,Source:Data sources,Source: Togo MICS 2017.
MYS.1T8.AG25T99.F,TGO,1970,Source:Data sources,Source: Census
MYS.1T8.AG25T99.F,TGO,2009,Source:Data sources,Source: ILO (International Labor Office) survey on child labor
MYS.1T8.AG25T99.F,TGO,2011,Source:Data sources,Source: QUIBB Survey
MYS.1T8.AG25T99.F,TGO,2017,Source:Data sources,Source: Togo MICS 2017.
MYS.1T8.AG25T99.GPIA,TGO,1970,Source:Data sources,Source: Census
MYS.1T8.AG25T99.GPIA,TGO,2009,Source:Data sources,Source: ILO (International Labor Office) survey on child labor
MYS.1T8.AG25T99.GPIA,TGO,2011,Source:Data sources,Source: QUIBB Survey
MYS.1T8.AG25T99.GPIA,TGO,2017,Source:Data sources,Source: Togo MICS 2017.
MYS.1T8.AG25T99.M,TGO,1970,Source:Data sources,Source: Census
MYS.1T8.AG25T99.M,TGO,2009,Source:Data sources,Source: ILO (International Labor Office) survey on child labor
MYS.1T8.AG25T99.M,TGO,2011,Source:Data sources,Source: QUIBB Survey
MYS.1T8.AG25T99.M,TGO,2017,Source:Data sources,Source: Togo MICS 2017.
NART.1,TGO,2006,Source:Data sources,Togo MICS 2006. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.
NART.1,TGO,2010,Source:Data sources,Togo IPUMS-International 2010. The census collected data on school attendance for age 3-95 and educational attainment for age 3 and above.
NART.1,TGO,2014,Source:Data sources,Togo DHS 2013-14. The survey collected data on school attendance for age 3-24 and educational attainment for age 3 and above.
