indicator_id,country_id,year,type,metadata
#indicator+code,#country+code,#date+year,#description+type,#description
ILLPOP.AG15T24.M,TGO,2006,Change:Data reporting,"Literacy definition: Persons who are able to read and write in any language are literate, otherwise they are illiterate."
ILLPOP.AG15T24.M,TGO,2006,Source:Data sources,Source: Survey
ILLPOP.AG15T24.M,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T24.M,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T24.M,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T24.M,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T24.M,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T24.M,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T24.M,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T24.M,TGO,2019,Source:Data sources,Source: Survey
ILLPOP.AG15T24.RUR,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T24.RUR,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T24.RUR,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T24.RUR,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T24.RUR,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T24.RUR,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T24.RUR,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T24.RUR,TGO,2019,Source:Data sources,Source: Survey
ILLPOP.AG15T24.RUR.F,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T24.RUR.F,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T24.RUR.F,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T24.RUR.F,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T24.RUR.F,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T24.RUR.F,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T24.RUR.F,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T24.RUR.F,TGO,2019,Source:Data sources,Source: Survey
ILLPOP.AG15T24.RUR.M,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T24.RUR.M,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T24.RUR.M,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T24.RUR.M,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T24.RUR.M,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T24.RUR.M,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T24.RUR.M,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T24.RUR.M,TGO,2019,Source:Data sources,Source: Survey
ILLPOP.AG15T24.URB,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T24.URB,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T24.URB,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T24.URB,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T24.URB,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T24.URB,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T24.URB,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T24.URB,TGO,2019,Source:Data sources,Source: Survey
ILLPOP.AG15T24.URB.F,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T24.URB.F,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T24.URB.F,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T24.URB.F,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T24.URB.F,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T24.URB.F,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T24.URB.F,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T24.URB.F,TGO,2019,Source:Data sources,Source: Survey
ILLPOP.AG15T24.URB.M,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T24.URB.M,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T24.URB.M,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T24.URB.M,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T24.URB.M,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T24.URB.M,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T24.URB.M,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T24.URB.M,TGO,2019,Source:Data sources,Source: Survey
ILLPOP.AG15T99,TGO,2000,Change:Data reporting,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.
ILLPOP.AG15T99,TGO,2000,Source:Data sources,Source: Multiple Indicator Cluster Survey (UNICEF MICS2)
ILLPOP.AG15T99,TGO,2006,Change:Data reporting,"Literacy definition: Persons who are able to read and write in any language are literate, otherwise they are illiterate."
ILLPOP.AG15T99,TGO,2006,Source:Data sources,Source: Survey
ILLPOP.AG15T99,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T99,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T99,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T99,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T99,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T99,TGO,2019,Source:Data sources,Source: Survey
ILLPOP.AG15T99.F,TGO,2000,Change:Data reporting,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.
ILLPOP.AG15T99.F,TGO,2000,Source:Data sources,Source: Multiple Indicator Cluster Survey (UNICEF MICS2)
ILLPOP.AG15T99.F,TGO,2006,Change:Data reporting,"Literacy definition: Persons who are able to read and write in any language are literate, otherwise they are illiterate."
ILLPOP.AG15T99.F,TGO,2006,Source:Data sources,Source: Survey
ILLPOP.AG15T99.F,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.F,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T99.F,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.F,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T99.F,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T99.F,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T99.F,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T99.F,TGO,2019,Source:Data sources,Source: Survey
ILLPOP.AG15T99.M,TGO,2000,Change:Data reporting,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.
ILLPOP.AG15T99.M,TGO,2000,Source:Data sources,Source: Multiple Indicator Cluster Survey (UNICEF MICS2)
ILLPOP.AG15T99.M,TGO,2006,Change:Data reporting,"Literacy definition: Persons who are able to read and write in any language are literate, otherwise they are illiterate."
ILLPOP.AG15T99.M,TGO,2006,Source:Data sources,Source: Survey
ILLPOP.AG15T99.M,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.M,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T99.M,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.M,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T99.M,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T99.M,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T99.M,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T99.M,TGO,2019,Source:Data sources,Source: Survey
ILLPOP.AG15T99.RUR,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.RUR,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T99.RUR,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.RUR,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T99.RUR,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T99.RUR,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T99.RUR,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T99.RUR,TGO,2019,Source:Data sources,Source: Survey
ILLPOP.AG15T99.RUR.F,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.RUR.F,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T99.RUR.F,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.RUR.F,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T99.RUR.F,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T99.RUR.F,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T99.RUR.F,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T99.RUR.F,TGO,2019,Source:Data sources,Source: Survey
ILLPOP.AG15T99.RUR.M,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.RUR.M,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T99.RUR.M,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.RUR.M,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T99.RUR.M,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T99.RUR.M,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T99.RUR.M,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T99.RUR.M,TGO,2019,Source:Data sources,Source: Survey
ILLPOP.AG15T99.URB,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.URB,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T99.URB,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.URB,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T99.URB,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T99.URB,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T99.URB,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T99.URB,TGO,2019,Source:Data sources,Source: Survey
ILLPOP.AG15T99.URB.F,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.URB.F,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T99.URB.F,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.URB.F,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T99.URB.F,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T99.URB.F,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T99.URB.F,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T99.URB.F,TGO,2019,Source:Data sources,Source: Survey
ILLPOP.AG15T99.URB.M,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.URB.M,TGO,2009,Source:Data sources,Source: Survey
ILLPOP.AG15T99.URB.M,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOP.AG15T99.URB.M,TGO,2011,Source:Data sources,Source: Survey
ILLPOP.AG15T99.URB.M,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOP.AG15T99.URB.M,TGO,2015,Source:Data sources,Source: Survey
ILLPOP.AG15T99.URB.M,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOP.AG15T99.URB.M,TGO,2019,Source:Data sources,Source: Survey
ILLPOPF.AG15T24,TGO,2000,Change:Data reporting,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.
ILLPOPF.AG15T24,TGO,2000,Source:Data sources,Source: Multiple Indicator Cluster Survey (UNICEF MICS2)
ILLPOPF.AG15T24,TGO,2006,Change:Data reporting,"Literacy definition: Persons who are able to read and write in any language are literate, otherwise they are illiterate."
ILLPOPF.AG15T24,TGO,2006,Source:Data sources,Source: Survey
ILLPOPF.AG15T24,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOPF.AG15T24,TGO,2009,Source:Data sources,Source: Survey
ILLPOPF.AG15T24,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOPF.AG15T24,TGO,2011,Source:Data sources,Source: Survey
ILLPOPF.AG15T24,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOPF.AG15T24,TGO,2015,Source:Data sources,Source: Survey
ILLPOPF.AG15T24,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOPF.AG15T24,TGO,2019,Source:Data sources,Source: Survey
ILLPOPF.AG15T24.RUR,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOPF.AG15T24.RUR,TGO,2009,Source:Data sources,Source: Survey
ILLPOPF.AG15T24.RUR,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOPF.AG15T24.RUR,TGO,2011,Source:Data sources,Source: Survey
ILLPOPF.AG15T24.RUR,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOPF.AG15T24.RUR,TGO,2015,Source:Data sources,Source: Survey
ILLPOPF.AG15T24.RUR,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOPF.AG15T24.RUR,TGO,2019,Source:Data sources,Source: Survey
ILLPOPF.AG15T24.URB,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOPF.AG15T24.URB,TGO,2009,Source:Data sources,Source: Survey
ILLPOPF.AG15T24.URB,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOPF.AG15T24.URB,TGO,2011,Source:Data sources,Source: Survey
ILLPOPF.AG15T24.URB,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOPF.AG15T24.URB,TGO,2015,Source:Data sources,Source: Survey
ILLPOPF.AG15T24.URB,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOPF.AG15T24.URB,TGO,2019,Source:Data sources,Source: Survey
ILLPOPF.AG15T99,TGO,2000,Change:Data reporting,Literacy definition: Literacy is defined as the ability to read easily or with difficulty a letter or a newspaper.
ILLPOPF.AG15T99,TGO,2000,Source:Data sources,Source: Multiple Indicator Cluster Survey (UNICEF MICS2)
ILLPOPF.AG15T99,TGO,2006,Change:Data reporting,"Literacy definition: Persons who are able to read and write in any language are literate, otherwise they are illiterate."
ILLPOPF.AG15T99,TGO,2006,Source:Data sources,Source: Survey
ILLPOPF.AG15T99,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOPF.AG15T99,TGO,2009,Source:Data sources,Source: Survey
ILLPOPF.AG15T99,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOPF.AG15T99,TGO,2011,Source:Data sources,Source: Survey
ILLPOPF.AG15T99,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOPF.AG15T99,TGO,2015,Source:Data sources,Source: Survey
ILLPOPF.AG15T99,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOPF.AG15T99,TGO,2019,Source:Data sources,Source: Survey
ILLPOPF.AG15T99.RUR,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOPF.AG15T99.RUR,TGO,2009,Source:Data sources,Source: Survey
ILLPOPF.AG15T99.RUR,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOPF.AG15T99.RUR,TGO,2011,Source:Data sources,Source: Survey
ILLPOPF.AG15T99.RUR,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOPF.AG15T99.RUR,TGO,2015,Source:Data sources,Source: Survey
ILLPOPF.AG15T99.RUR,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOPF.AG15T99.RUR,TGO,2019,Source:Data sources,Source: Survey
ILLPOPF.AG15T99.URB,TGO,2009,Change:Data reporting,"Literacy definition: Literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOPF.AG15T99.URB,TGO,2009,Source:Data sources,Source: Survey
ILLPOPF.AG15T99.URB,TGO,2011,Change:Data reporting,"Literacy definition: A literate is a person who can read and write with understanding a short, simple statement in any language."
ILLPOPF.AG15T99.URB,TGO,2011,Source:Data sources,Source: Survey
ILLPOPF.AG15T99.URB,TGO,2015,Change:Data reporting,Literacy definition: A literate is a person who can read and write in any language.
ILLPOPF.AG15T99.URB,TGO,2015,Source:Data sources,Source: Survey
ILLPOPF.AG15T99.URB,TGO,2019,Change:Data reporting,Literacy definition: Can [NAME] read a short text in the following languages:(1-French 2-Local language 3-Other language) Can [NAME] write a short text in the following languages:(1-French 2-Local language 3-Other language)
ILLPOPF.AG15T99.URB,TGO,2019,Source:Data sources,Source: Survey
MYS.1T8.AG25T99,TGO,1970,Source:Data sources,Source: Census
