"indicateur","région","sexe","Unit","Date","Value"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Total","%","2016","96.7"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Total","%","2017","91.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Total","%","2018","90.8"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Total","%","2019","92.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Total","%","2020","79.7"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Total","%","2021","96.2"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Total","%","2022","91.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Masculin","%","2014","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Masculin","%","2015","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Masculin","%","2016","97.9"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Masculin","%","2017","89.6"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Masculin","%","2018","94.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Masculin","%","2019","92.9"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Masculin","%","2020","82.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Masculin","%","2021","95.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Masculin","%","2022","90.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Féminin","%","2014","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Féminin","%","2015","85.7"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Féminin","%","2016","92.3"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Féminin","%","2017","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Féminin","%","2018","70"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Féminin","%","2019","91.9"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Féminin","%","2020","74"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Féminin","%","2021","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Maritime","Féminin","%","2022","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Total","%","2014","88.9"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Total","%","2015","70"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Total","%","2016","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Total","%","2017","86.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Total","%","2018","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Total","%","2019","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Total","%","2020","49.2"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Total","%","2021","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Total","%","2022","65"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Masculin","%","2014","87"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Masculin","%","2015","71.7"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Masculin","%","2016","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Masculin","%","2017","89.1"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Masculin","%","2018","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Masculin","%","2019","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Masculin","%","2020","57.3"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Masculin","%","2021","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Masculin","%","2022","79"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Féminin","%","2014","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Féminin","%","2015","57.1"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Féminin","%","2016","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Féminin","%","2017","66.7"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Féminin","%","2018","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Féminin","%","2019","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Féminin","%","2020","28.8"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Féminin","%","2021","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Plateaux","Féminin","%","2022","40"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Total","%","2014","79.2"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Total","%","2015","89.5"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Total","%","2016","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Total","%","2017","85.7"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Total","%","2018","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Total","%","2019","75"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Total","%","2020","95.7"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Total","%","2021","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Total","%","2022","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Masculin","%","2014","85"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Masculin","%","2015","88.9"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Masculin","%","2016","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Masculin","%","2017","90"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Masculin","%","2018","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Masculin","%","2019","70.6"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Masculin","%","2020","95"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Masculin","%","2021","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Masculin","%","2022","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Féminin","%","2014","50"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Féminin","%","2015","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Féminin","%","2016","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Féminin","%","2017","0"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Féminin","%","2018","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Féminin","%","2019","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Féminin","%","2020","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Féminin","%","2021","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Centrale","Féminin","%","2022","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Total","%","2014","96.7"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Total","%","2015","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Total","%","2016","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Total","%","2017","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Total","%","2018","97.6"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Total","%","2019","96.9"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Total","%","2020","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Total","%","2021","98.7"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Total","%","2022","94"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Masculin","%","2014","95.8"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Masculin","%","2015","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Masculin","%","2016","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Masculin","%","2017","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Masculin","%","2018","96.6"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Masculin","%","2019","96.3"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Masculin","%","2020","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Masculin","%","2021","98.2"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Masculin","%","2022","95"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Féminin","%","2014","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Féminin","%","2015","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Féminin","%","2016","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Féminin","%","2017","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Féminin","%","2018","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Féminin","%","2019","98.4"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Féminin","%","2020","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Féminin","%","2021","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Kara","Féminin","%","2022","92"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Total","%","2014","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Total","%","2015","95"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Total","%","2016","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Total","%","2017","90.9"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Total","%","2018","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Total","%","2019","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Total","%","2020","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Total","%","2021","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Total","%","2022","77"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Masculin","%","2014","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Masculin","%","2015","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Masculin","%","2016","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Masculin","%","2017","90"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Masculin","%","2018","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Masculin","%","2019","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Masculin","%","2020","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Masculin","%","2021","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Masculin","%","2022","77"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Féminin","%","2014","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Féminin","%","2015","83.3"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Féminin","%","2016","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Féminin","%","2017","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Féminin","%","2018","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Féminin","%","2019","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Féminin","%","2020","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Féminin","%","2021","100"
"Taux de réussite au BAC I par région et par sexe (%) (série C)","Savanes","Féminin","%","2022","78"
