filiere,nb_metiers_matches,nb_avec_riasec,metiers
Géographie,6,6,"15-1299.02 Geographic Information Systems Technologists and Technicians; 17-1021.00 Cartographers and Photogrammetrists; 17-1022.00 Surveyors; 17-1022.01 Geodetic Surveyors; 19-2042.00 Geoscientists, Except Hydrologists and Geographers; 19-3092.00 Geographers"
Gestion des Entreprises,10,9,"11-1011.00 Chief Executives; 11-1021.00 General and Operations Managers; 11-3012.00 Administrative Services Managers; 11-9199.09 Wind Energy Operations Managers; 13-1011.00 Agents and Business Managers of Artists, Performers, and Athletes; 13-1199.00 Business Operations Specialists, All Other; 13-1199.04 Business Continuity Planners; 13-2022.00 Appraisers of Personal and Business Property; 15-2051.01 Business Intelligence Analysts; 25-1011.00 Business Teachers, Postsecondary"
Histoire,3,3,19-3091.00 Anthropologists and Archeologists; 19-3093.00 Historians; 25-4011.00 Archivists
Informatique,24,23,11-3021.00 Computer and Information Systems Managers; 15-1211.00 Computer Systems Analysts; 15-1212.00 Information Security Analysts; 15-1221.00 Computer and Information Research Scientists; 15-1231.00 Computer Network Support Specialists; 15-1232.00 Computer User Support Specialists; 15-1241.00 Computer Network Architects; 15-1242.00 Database Administrators; 15-1243.00 Database Architects; 15-1244.00 Network and Computer Systems Administrators; 15-1251.00 Computer Programmers; 15-1252.00 Software Developers…
Lettres Modernes,7,7,"13-2053.00 Insurance Underwriters; 25-4022.00 Librarians and Media Collections Specialists; 27-3042.00 Technical Writers; 27-3043.00 Writers and Authors; 27-3043.05 Poets, Lyricists and Creative Writers; 39-3012.00 Gambling and Sports Book Writers and Runners; 43-4041.00 Credit Authorizers, Checkers, and Clerks"
Mathématiques Appliquées,5,5,15-2021.00 Mathematicians; 15-2031.00 Operations Research Analysts; 15-2041.00 Statisticians; 15-2041.01 Biostatisticians; 15-2051.00 Data Scientists
Médecine,38,36,"11-9111.00 Medical and Health Services Managers; 17-2031.00 Bioengineers and Biomedical Engineers; 19-1042.00 Medical Scientists, Except Epidemiologists; 29-1022.00 Oral and Maxillofacial Surgeons; 29-1071.00 Physician Assistants; 29-1071.01 Anesthesiologist Assistants; 29-1211.00 Anesthesiologists; 29-1214.00 Emergency Medicine Physicians; 29-1215.00 Family Medicine Physicians; 29-1216.00 General Internal Medicine Physicians; 29-1218.00 Obstetricians and Gynecologists; 29-1221.00 Pediatricians, General…"
Odontologie,5,4,"29-1021.00 Dentists, General; 29-1029.00 Dentists, All Other Specialists; 29-1292.00 Dental Hygienists; 31-9091.00 Dental Assistants; 51-9081.00 Dental Laboratory Technicians"
Pharmacie,1,1,29-1051.00 Pharmacists
Physique-Chimie,8,8,"19-1021.00 Biochemists and Biophysicists; 19-2012.00 Physicists; 19-2031.00 Chemists; 19-4031.00 Chemical Technicians; 25-1052.00 Chemistry Teachers, Postsecondary; 29-2012.00 Medical and Clinical Laboratory Technicians; 51-9081.00 Dental Laboratory Technicians; 51-9083.00 Ophthalmic Laboratory Technicians"
Psychologie,27,24,"13-2071.00 Credit Counselors; 19-3032.00 Industrial-Organizational Psychologists; 19-3033.00 Clinical and Counseling Psychologists; 19-3034.00 School Psychologists; 19-3039.00 Psychologists, All Other; 19-3039.02 Neuropsychologists; 19-3039.03 Clinical Neuropsychologists; 21-1011.00 Substance Abuse and Behavioral Disorder Counselors; 21-1012.00 Educational, Guidance, and Career Counselors and Advisors; 21-1013.00 Marriage and Family Therapists; 21-1014.00 Mental Health Counselors; 21-1015.00 Rehabilitation Counselors…"
Sciences de l'Éducation,66,60,"11-9031.00 Education and Childcare Administrators, Preschool and Daycare; 11-9032.00 Education Administrators, Kindergarten through Secondary; 11-9033.00 Education Administrators, Postsecondary; 11-9039.00 Education Administrators, All Other; 21-1012.00 Educational, Guidance, and Career Counselors and Advisors; 21-1091.00 Health Education Specialists; 21-2021.00 Directors, Religious Activities and Education; 25-1011.00 Business Teachers, Postsecondary; 25-1021.00 Computer Science Teachers, Postsecondary; 25-1022.00 Mathematical Science Teachers, Postsecondary; 25-1031.00 Architecture Teachers, Postsecondary; 25-1032.00 Engineering Teachers, Postsecondary…"
Sciences Environnementales,11,11,"17-2081.00 Environmental Engineers; 17-3025.00 Environmental Engineering Technologists and Technicians; 19-1031.00 Conservation Scientists; 19-2041.00 Environmental Scientists and Specialists, Including Health; 19-2041.03 Industrial Ecologists; 19-2042.00 Geoscientists, Except Hydrologists and Geographers; 19-2043.00 Hydrologists; 19-4071.00 Forest and Conservation Technicians; 25-1043.00 Forestry and Conservation Science Teachers, Postsecondary; 29-1218.00 Obstetricians and Gynecologists; 45-4011.00 Forest and Conservation Workers"
Sciences Forestières,4,4,"19-1031.00 Conservation Scientists; 19-1032.00 Foresters; 25-1043.00 Forestry and Conservation Science Teachers, Postsecondary; 45-1011.00 First-Line Supervisors of Farming, Fishing, and Forestry Workers"
Sciences Infirmières,16,13,"11-9111.00 Medical and Health Services Managers; 21-1022.00 Healthcare Social Workers; 29-1141.00 Registered Nurses; 29-1141.01 Acute Care Nurses; 29-1141.02 Advanced Practice Psychiatric Nurses; 29-1141.03 Critical Care Nurses; 29-1141.04 Clinical Nurse Specialists; 29-1151.00 Nurse Anesthetists; 29-1161.00 Nurse Midwives; 29-1171.00 Nurse Practitioners; 29-1299.00 Healthcare Diagnosing or Treating Practitioners, All Other; 29-2061.00 Licensed Practical and Licensed Vocational Nurses…"
Sciences Politiques,6,6,"11-1031.00 Legislators; 13-1041.04 Government Property Inspectors and Investigators; 15-2051.01 Business Intelligence Analysts; 19-3094.00 Political Scientists; 33-3021.06 Intelligence Analysts; 43-4061.00 Eligibility Interviewers, Government Programs"
Sociologie,10,8,"11-9141.00 Property, Real Estate, and Community Association Managers; 11-9151.00 Social and Community Service Managers; 19-3041.00 Sociologists; 19-3091.00 Anthropologists and Archeologists; 21-1021.00 Child, Family, and School Social Workers; 21-1022.00 Healthcare Social Workers; 21-1023.00 Mental Health and Substance Abuse Social Workers; 21-1029.00 Social Workers, All Other; 21-1094.00 Community Health Workers; 21-1099.00 Community and Social Service Specialists, All Other"
Tourisme et Hôtellerie,11,11,"11-9081.00 Lodging Managers; 35-2014.00 Cooks, Restaurant; 35-3041.00 Food Servers, Nonrestaurant; 35-9031.00 Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop; 39-6012.00 Concierges; 39-7012.00 Travel Guides; 41-3041.00 Travel Agents; 41-3091.00 Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel; 43-4081.00 Hotel, Motel, and Resort Desk Clerks; 43-4181.00 Reservation and Transportation Ticket Agents and Travel Clerks; 53-2031.00 Flight Attendants"
