indicator_id,indicator_label_en
10,Official entrance age to early childhood educational development (years)
10403,Start month of the academic school year (tertiary education)
10404,End month of the academic school year (tertiary education)
10405,Start of the academic school year (tertiary education)
10406,End of the academic school year (tertiary education)
13,Theoretical duration of early childhood educational development (years)
20060,"Enrolment in pre-primary education, both sexes (number)"
20061,"Enrolment in pre-primary education, female (number)"
20062,"Enrolment in primary education, both sexes (number)"
20063,"Enrolment in primary education, female (number)"
20064,"Enrolment in lower secondary education, both sexes (number)"
20065,"Enrolment in lower secondary education, female (number)"
20070,"Enrolment in upper secondary education, both sexes (number)"
20071,"Enrolment in upper secondary education, female (number)"
20076,"Enrolment in post-secondary non-tertiary education, both sexes (number)"
20077,"Enrolment in post-secondary non-tertiary education, female (number)"
20082,"Enrolment in secondary education, both sexes (number)"
20083,"Enrolment in secondary education, female (number)"
20160,"Teachers in pre-primary education, both sexes (number)"
20161,"Teachers in pre-primary education, female (number)"
20162,"Teachers in primary education, both sexes (number)"
20163,"Teachers in primary education, female (number)"
20164,"Teachers in lower secondary education, both sexes (number)"
20165,"Teachers in lower secondary education, female (number)"
20170,"Teachers in upper secondary education, both sexes (number)"
20171,"Teachers in upper secondary education, female (number)"
20176,"Teachers in post-secondary non-tertiary education, both sexes (number)"
20177,"Teachers in post-secondary non-tertiary education, female (number)"
20182,"Teachers in secondary education, both sexes (number)"
20183,"Teachers in secondary education, female (number)"
21500,"Repeaters in Grade 1 of primary education, both sexes (number)"
21501,"Repeaters in Grade 1 of primary education, female (number)"
21502,"Repeaters in Grade 2 of primary education, both sexes (number)"
21503,"Repeaters in Grade 2 of primary education, female (number)"
21504,"Repeaters in Grade 3 of primary education, both sexes (number)"
21505,"Repeaters in Grade 3 of primary education, female (number)"
21506,"Repeaters in Grade 4 of primary education, both sexes (number)"
21507,"Repeaters in Grade 4 of primary education, female (number)"
21508,"Repeaters in Grade 5 of primary education, both sexes (number)"
21509,"Repeaters in Grade 5 of primary education, female (number)"
21510,"Repeaters in Grade 6 of primary education, both sexes (number)"
21511,"Repeaters in Grade 6 of primary education, female (number)"
21512,"Repeaters in Grade 7 of primary education, both sexes (number)"
21513,"Repeaters in Grade 7 of primary education, female (number)"
21514,"Repeaters in grade unknown of primary education, both sexes (number)"
21515,"Repeaters in grade unknown of primary education, female (number)"
21516,"Repeaters in primary education, all grades, both sexes (number)"
21517,"Repeaters in primary education, all grades, female (number)"
25001,"Teachers in tertiary education ISCED 5 programmes, both sexes (number)"
25003,"Teachers in tertiary education programmes, both sexes (number)"
25005,"Teachers in tertiary education ISCED 5 programmes, female (number)"
25007,"Teachers in tertiary education programmes, female (number)"
25051,"Enrolment in tertiary education, ISCED 5 programmes, both sexes (number)"
25052,"Enrolment in tertiary education, ISCED 8 programmes, both sexes (number)"
25053,"Enrolment in tertiary education, all programmes, both sexes (number)"
25055,"Enrolment in tertiary education, ISCED 5 programmes, female (number)"
25056,"Enrolment in tertiary education, ISCED 8 programmes, female (number)"
25057,"Enrolment in tertiary education, all programmes, female (number)"
26420,"Inbound internationally mobile students from Africa, both sexes (number)"
26421,"Inbound internationally mobile students from Africa: Students from Algeria, both sexes (number)"
26422,"Inbound internationally mobile students from Africa: Students from Angola, both sexes (number)"
26423,"Inbound internationally mobile students from Africa: Students from Benin, both sexes (number)"
26424,"Inbound internationally mobile students from Africa: Students from Botswana, both sexes (number)"
26425,"Inbound internationally mobile students from Africa: Students from Burkina Faso, both sexes (number)"
26426,"Inbound internationally mobile students from Africa: Students from Burundi, both sexes (number)"
26427,"Inbound internationally mobile students from Africa: Students from Cameroon, both sexes (number)"
26428,"Inbound internationally mobile students from Africa: Students from Cape Verde, both sexes (number)"
26429,"Inbound internationally mobile students from Africa: Students from the Central African Republic, both sexes (number)"
26430,"Inbound internationally mobile students from Africa: Students from Chad, both sexes (number)"
26431,"Inbound internationally mobile students from Africa: Students from Comoros, both sexes (number)"
26432,"Inbound internationally mobile students from Africa: Students from the Congo, both sexes (number)"
26433,"Inbound internationally mobile students from Africa: Students from C̫te d'Ivoire, both sexes (number)"
26434,"Inbound internationally mobile students from Africa: Students from the Democratic Republic of the Congo, both sexes (number)"
26435,"Inbound internationally mobile students from Africa: Students from Djibouti, both sexes (number)"
26436,"Inbound internationally mobile students from Africa: Students from Egypt, both sexes (number)"
26437,"Inbound internationally mobile students from Africa: Students from Equatorial Guinea, both sexes (number)"
26438,"Inbound internationally mobile students from Africa: Students from Eritrea, both sexes (number)"
26439,"Inbound internationally mobile students from Africa: Students from Ethiopia, both sexes (number)"
26440,"Inbound internationally mobile students from Africa: Students from Gabon, both sexes (number)"
26441,"Inbound internationally mobile students from Africa: Students from the Gambia, both sexes (number)"
26442,"Inbound internationally mobile students from Africa: Students from Ghana, both sexes (number)"
26443,"Inbound internationally mobile students from Africa: Students from Guinea, both sexes (number)"
26444,"Inbound internationally mobile students from Africa: Students from Guinea-Bissau, both sexes (number)"
26445,"Inbound internationally mobile students from Africa: Students from Kenya, both sexes (number)"
26446,"Inbound internationally mobile students from Africa: Students from Lesotho, both sexes (number)"
26447,"Inbound internationally mobile students from Africa: Students from Liberia, both sexes (number)"
26448,"Inbound internationally mobile students from Africa: Students from Libya, both sexes (number)"
26449,"Inbound internationally mobile students from Africa: Students from Madagascar, both sexes (number)"
26450,"Inbound internationally mobile students from Africa: Students from Malawi, both sexes (number)"
26451,"Inbound internationally mobile students from Africa: Students from Mali, both sexes (number)"
26452,"Inbound internationally mobile students from Africa: Students from Mauritania, both sexes (number)"
26453,"Inbound internationally mobile students from Africa: Students from Mauritius, both sexes (number)"
26454,"Inbound internationally mobile students from Africa: Students from Morocco, both sexes (number)"
26455,"Inbound internationally mobile students from Africa: Students from Mozambique, both sexes (number)"
26456,"Inbound internationally mobile students from Africa: Students from Namibia, both sexes (number)"
26457,"Inbound internationally mobile students from Africa: Students from Niger, both sexes (number)"
26458,"Inbound internationally mobile students from Africa: Students from Nigeria, both sexes (number)"
26459,"Inbound internationally mobile students from Africa: Students from Rwanda, both sexes (number)"
26460,"Inbound internationally mobile students from Africa: Students from Sao Tome and Principe, both sexes (number)"
26461,"Inbound internationally mobile students from Africa: Students from Senegal, both sexes (number)"
26462,"Inbound internationally mobile students from Africa: Students from Seychelles, both sexes (number)"
26463,"Inbound internationally mobile students from Africa: Students from Sierra Leone, both sexes (number)"
26464,"Inbound internationally mobile students from Africa: Students from Somalia, both sexes (number)"
26465,"Inbound internationally mobile students from Africa: Students from South Africa, both sexes (number)"
26466,"Inbound internationally mobile students from Africa: Students from Sudan (pre-secession), both sexes (number)"
26467,"Inbound internationally mobile students from Africa: Students from Eswatini, both sexes (number)"
26468,"Inbound internationally mobile students from Africa: Students from Togo, both sexes (number)"
26469,"Inbound internationally mobile students from Africa: Students from Tunisia, both sexes (number)"
26470,"Inbound internationally mobile students from Africa: Students from Uganda, both sexes (number)"
26471,"Inbound internationally mobile students from Africa: Students from the United Republic of Tanzania, both sexes (number)"
26472,"Inbound internationally mobile students from Africa: Students from Zambia, both sexes (number)"
26473,"Inbound internationally mobile students from Africa: Students from Zimbabwe, both sexes (number)"
26474,"Inbound internationally mobile students from Africa: Students from unknown countries, both sexes (number)"
26475,"Inbound internationally mobile students from North America, the Caribbean and Central America, both sexes (number)"
26476,"Inbound internationally mobile students from Caribbean and Central America: Students from Antigua and Barbuda, both sexes (number)"
26477,"Inbound internationally mobile students from Caribbean and Central America: Students from Aruba, both sexes (number)"
26478,"Inbound internationally mobile students from Caribbean and Central America: Students from Bahamas, both sexes (number)"
26479,"Inbound internationally mobile students from Caribbean and Central America: Students from Barbados, both sexes (number)"
26480,"Inbound internationally mobile students from Caribbean and Central America: Students from Belize, both sexes (number)"
26481,"Inbound internationally mobile students from North America: Students from Bermuda, both sexes (number)"
26482,"Inbound internationally mobile students from Caribbean and Central America: Students from the British Virgin Islands, both sexes (number)"
26483,"Inbound internationally mobile students from North America: Students from Canada, both sexes (number)"
26484,"Inbound internationally mobile students from Caribbean and Central America: Students from Costa Rica, both sexes (number)"
26485,"Inbound internationally mobile students from Caribbean and Central America: Students from Cuba, both sexes (number)"
26486,"Inbound internationally mobile students from Caribbean and Central America: Students from Dominica, both sexes (number)"
26487,"Inbound internationally mobile students from Caribbean and Central America: Students from Dominican Republic, both sexes (number)"
26488,"Inbound internationally mobile students from Caribbean and Central America: Students from El Salvador, both sexes (number)"
26489,"Inbound internationally mobile students from Caribbean and Central America: Students from Grenada, both sexes (number)"
26490,"Inbound internationally mobile students from Caribbean and Central America: Students from Guatemala, both sexes (number)"
26491,"Inbound internationally mobile students from Caribbean and Central America: Students from Haiti, both sexes (number)"
26492,"Inbound internationally mobile students from Caribbean and Central America: Students from Honduras, both sexes (number)"
26493,"Inbound internationally mobile students from Caribbean and Central America: Students from Jamaica, both sexes (number)"
26494,"Inbound internationally mobile students from Caribbean and Central America: Students from Mexico, both sexes (number)"
26495,"Inbound internationally mobile students from Caribbean and Central America: Students from the Netherlands Antilles, both sexes (number)"
26496,"Inbound internationally mobile students from Caribbean and Central America: Students from Nicaragua, both sexes (number)"
26497,"Inbound internationally mobile students from Caribbean and Central America: Students from Panama, both sexes (number)"
26498,"Inbound internationally mobile students from Caribbean and Central America: Students from Saint Kitts and Nevis, both sexes (number)"
26499,"Inbound internationally mobile students from Caribbean and Central America: Students from Saint Lucia, both sexes (number)"
26500,"Inbound internationally mobile students from Caribbean and Central America: Students from Saint Vincent and the Grenadines, both sexes (number)"
26501,"Inbound internationally mobile students from Caribbean and Central America: Students from Trinidad and Tobago, both sexes (number)"
26502,"Inbound internationally mobile students from Caribbean and Central America: Students from the Turks and Caicos Islands, both sexes (number)"
26503,"Inbound internationally mobile students from North America: Students from the United States, both sexes (number)"
26504,"Inbound internationally mobile students from North America: Students from unknown countries, both sexes (number)"
26505,"Inbound internationally mobile students from South America, both sexes (number)"
26506,"Inbound internationally mobile students from South America: Students from Argentina, both sexes (number)"
26507,"Inbound internationally mobile students from South America: Students from the Plurinational State of Bolivia, both sexes (number)"
26508,"Inbound internationally mobile students from South America: Students from Brazil, both sexes (number)"
26509,"Inbound internationally mobile students from South America: Students from Chile, both sexes (number)"
26510,"Inbound internationally mobile students from South America: Students from Colombia, both sexes (number)"
26511,"Inbound internationally mobile students from South America: Students from Ecuador, both sexes (number)"
26512,"Inbound internationally mobile students from South America: Students from Guyana, both sexes (number)"
26513,"Inbound internationally mobile students from South America: Students from Paraguay, both sexes (number)"
26514,"Inbound internationally mobile students from South America: Students from Peru, both sexes (number)"
26515,"Inbound internationally mobile students from South America: Students from Suriname, both sexes (number)"
26516,"Inbound internationally mobile students from South America: Students from Uruguay, both sexes (number)"
26517,"Inbound internationally mobile students from South America: Students from the Bolivarian Republic of Venezuela, both sexes (number)"
26518,"Inbound internationally mobile students from South America: Students from unknown countries, both sexes (number)"
26519,"Inbound internationally mobile students from Asia, both sexes (number)"
26520,"Inbound internationally mobile students from Asia: Students from Afghanistan, both sexes (number)"
26521,"Inbound internationally mobile students from Asia: Students from Armenia, both sexes (number)"
26522,"Inbound internationally mobile students from Asia: Students from Azerbaijan, both sexes (number)"
26523,"Inbound internationally mobile students from Asia: Students from Bahrain, both sexes (number)"
26524,"Inbound internationally mobile students from Asia: Students from Bangladesh, both sexes (number)"
26525,"Inbound internationally mobile students from Asia: Students from Bhutan, both sexes (number)"
26526,"Inbound internationally mobile students from Asia: Students from Brunei Darussalam, both sexes (number)"
26527,"Inbound internationally mobile students from Asia: Students from Cambodia, both sexes (number)"
26528,"Inbound internationally mobile students from Asia: Students from China, both sexes (number)"
26529,"Inbound internationally mobile students from Asia: Students from Cyprus, both sexes (number)"
26530,"Inbound internationally mobile students from Asia: Students from Timor-Leste, both sexes (number)"
26531,"Inbound internationally mobile students from Asia: Students from Georgia, both sexes (number)"
26532,"Inbound internationally mobile students from Asia: Students from Hong Kong, Special Administrative Region of China, both sexes (number)"
26533,"Inbound internationally mobile students from Asia: Students from India, both sexes (number)"
26534,"Inbound internationally mobile students from Asia: Students from Indonesia, both sexes (number)"
26535,"Inbound internationally mobile students from Asia: Students from the Islamic Republic of Iran, both sexes (number)"
26536,"Inbound internationally mobile students from Asia: Students from Iraq, both sexes (number)"
26537,"Inbound internationally mobile students from Asia: Students from Israel, both sexes (number)"
26538,"Inbound internationally mobile students from Asia: Students from Japan, both sexes (number)"
26539,"Inbound internationally mobile students from Asia: Students from Jordan, both sexes (number)"
26540,"Inbound internationally mobile students from Asia: Students from Kazakhstan, both sexes (number)"
26541,"Inbound internationally mobile students from Asia: Students from the Democratic People's Republic of Korea, both sexes (number)"
26542,"Inbound internationally mobile students from Asia: Students from the Republic of Korea, both sexes (number)"
26543,"Inbound internationally mobile students from Asia: Students from Kuwait, both sexes (number)"
26544,"Inbound internationally mobile students from Asia: Students from Kyrgyzstan, both sexes (number)"
26545,"Inbound internationally mobile students from Asia: Students from Lao People's Democratic Republic, both sexes (number)"
26546,"Inbound internationally mobile students from Asia: Students from Lebanon, both sexes (number)"
26547,"Inbound internationally mobile students from Asia: Students from Macao, Special Administrative Region of China, both sexes (number)"
26548,"Inbound internationally mobile students from Asia: Students from Malaysia, both sexes (number)"
26549,"Inbound internationally mobile students from Asia: Students from Maldives, both sexes (number)"
26550,"Inbound internationally mobile students from Asia: Students from Mongolia, both sexes (number)"
26551,"Inbound internationally mobile students from Asia: Students from Myanmar, both sexes (number)"
26552,"Inbound internationally mobile students from Asia: Students from Nepal, both sexes (number)"
26553,"Inbound internationally mobile students from Asia: Students from Oman, both sexes (number)"
26554,"Inbound internationally mobile students from Asia: Students from Pakistan, both sexes (number)"
26555,"Inbound internationally mobile students from Asia: Students from Palestine, both sexes (number)"
26556,"Inbound internationally mobile students from Asia: Students from the Philippines, both sexes (number)"
26557,"Inbound internationally mobile students from Asia: Students from Qatar, both sexes (number)"
26558,"Inbound internationally mobile students from Asia: Students from Saudi Arabia, both sexes (number)"
26559,"Inbound internationally mobile students from Asia: Students from Singapore, both sexes (number)"
26560,"Inbound internationally mobile students from Asia: Students from Sri Lanka, both sexes (number)"
26561,"Inbound internationally mobile students from Asia: Students from the Syrian Arab Republic, both sexes (number)"
26562,"Inbound internationally mobile students from Asia: Students from Tajikistan, both sexes (number)"
26563,"Inbound internationally mobile students from Asia: Students from Thailand, both sexes (number)"
26564,"Inbound internationally mobile students from Asia: Students from Turkey, both sexes (number)"
26565,"Inbound internationally mobile students from Asia: Students from Turkmenistan, both sexes (number)"
26566,"Inbound internationally mobile students from Asia: Students from the United Arab Emirates, both sexes (number)"
26567,"Inbound internationally mobile students from Asia: Students from Uzbekistan, both sexes (number)"
26568,"Inbound internationally mobile students from Asia: Students from Viet Nam, both sexes (number)"
26569,"Inbound internationally mobile students from Asia: Students from the Yemen, both sexes (number)"
26570,"Inbound internationally mobile students from Asia: Students from unknown countries, both sexes (number)"
26571,"Inbound internationally mobile students from Europe, both sexes (number)"
26572,"Inbound internationally mobile students from Europe: Students from Albania, both sexes (number)"
26573,"Inbound internationally mobile students from Europe: Students from Andorra, both sexes (number)"
26574,"Inbound internationally mobile students from Europe: Students from Austria, both sexes (number)"
26575,"Inbound internationally mobile students from Europe: Students from Belarus, both sexes (number)"
26576,"Inbound internationally mobile students from Europe: Students from Belgium, both sexes (number)"
26577,"Inbound internationally mobile students from Europe: Students from Bosnia and Herzegovina, both sexes (number)"
26578,"Inbound internationally mobile students from Europe: Students from Bulgaria, both sexes (number)"
26579,"Inbound internationally mobile students from Europe: Students from Croatia, both sexes (number)"
26580,"Inbound internationally mobile students from Europe: Students from the Czechia, both sexes (number)"
26581,"Inbound internationally mobile students from Europe: Students from Denmark, both sexes (number)"
26582,"Inbound internationally mobile students from Europe: Students from Estonia, both sexes (number)"
26583,"Inbound internationally mobile students from Europe: Students from Finland, both sexes (number)"
26584,"Inbound internationally mobile students from Europe: Students from France, both sexes (number)"
26585,"Inbound internationally mobile students from Europe: Students from Germany, both sexes (number)"
26586,"Inbound internationally mobile students from Europe: Students from Greece, both sexes (number)"
26587,"Inbound internationally mobile students from Europe: Students from the Holy See, both sexes (number)"
26588,"Inbound internationally mobile students from Europe: Students from Hungary, both sexes (number)"
26589,"Inbound internationally mobile students from Europe: Students from Iceland, both sexes (number)"
26590,"Inbound internationally mobile students from Europe: Students from Ireland, both sexes (number)"
26591,"Inbound internationally mobile students from Europe: Students from Italy, both sexes (number)"
26592,"Inbound internationally mobile students from Europe: Students from Latvia, both sexes (number)"
26593,"Inbound internationally mobile students from Europe: Students from Liechtenstein, both sexes (number)"
26594,"Inbound internationally mobile students from Europe: Students from Lithuania, both sexes (number)"
26595,"Inbound internationally mobile students from Europe: Students from Luxembourg, both sexes (number)"
26596,"Inbound internationally mobile students from Europe: Students from Malta, both sexes (number)"
26597,"Inbound internationally mobile students from Europe: Students from the Republic of Moldova, both sexes (number)"
26598,"Inbound internationally mobile students from Europe: Students from Monaco, both sexes (number)"
26599,"Inbound internationally mobile students from Europe: Students from the Netherlands, both sexes (number)"
26600,"Inbound internationally mobile students from Europe: Students from Norway, both sexes (number)"
26601,"Inbound internationally mobile students from Europe: Students from Poland, both sexes (number)"
26602,"Inbound internationally mobile students from Europe: Students from Portugal, both sexes (number)"
26603,"Inbound internationally mobile students from Europe: Students from Romania, both sexes (number)"
26604,"Inbound internationally mobile students from Europe: Students from the Russian Federation, both sexes (number)"
26605,"Inbound internationally mobile students from Europe: Students from San Marino, both sexes (number)"
26606,"Inbound internationally mobile students from Europe: Students from Slovakia, both sexes (number)"
26607,"Inbound internationally mobile students from Europe: Students from Slovenia, both sexes (number)"
26608,"Inbound internationally mobile students from Europe: Students from Spain, both sexes (number)"
26609,"Inbound internationally mobile students from Europe: Students from Sweden, both sexes (number)"
26610,"Inbound internationally mobile students from Europe: Students from Switzerland, both sexes (number)"
26611,"Inbound internationally mobile students from Europe: Students from North Macedonia, both sexes (number)"
26612,"Inbound internationally mobile students from Europe: Students from the Ukraine, both sexes (number)"
26613,"Inbound internationally mobile students from Europe: Students from the United Kingdom, both sexes (number)"
26614,"Inbound internationally mobile students from Europe: Students from Serbia, both sexes (number)"
26615,"Inbound internationally mobile students from Europe: Students from unknown countries, both sexes (number)"
26616,"Inbound internationally mobile students from Oceania, both sexes (number)"
26617,"Inbound internationally mobile students from Oceania: Students from Australia, both sexes (number)"
26618,"Inbound internationally mobile students from Oceania: Students from the Cook Islands, both sexes (number)"
26619,"Inbound internationally mobile students from Oceania: Students from Fiji, both sexes (number)"
26620,"Inbound internationally mobile students from Oceania: Students from Kiribati, both sexes (number)"
26621,"Inbound internationally mobile students from Oceania: Students from New Zealand, both sexes (number)"
26622,"Inbound internationally mobile students from Oceania: Students from Niue, both sexes (number)"
26623,"Inbound internationally mobile students from Oceania: Students from Palau, both sexes (number)"
26624,"Inbound internationally mobile students from Oceania: Students from Papua New Guinea, both sexes (number)"
26625,"Inbound internationally mobile students from Oceania: Students from Samoa, both sexes (number)"
26626,"Inbound internationally mobile students from Oceania: Students from the Solomon Islands, both sexes (number)"
26627,"Inbound internationally mobile students from Oceania: Students from Tonga, both sexes (number)"
26628,"Inbound internationally mobile students from Oceania: Students from Tuvalu, both sexes (number)"
26629,"Inbound internationally mobile students from Oceania: Students from Vanuatu, both sexes (number)"
26630,"Inbound internationally mobile students from Oceania: Students from unknown countries, both sexes (number)"
26631,"Inbound internationally mobile students from unknown continents, both sexes (number)"
26637,"Total inbound internationally mobile students, both sexes (number)"
26638,"Total inbound internationally mobile students, female (number)"
26640,"Inbound internationally mobile students from Europe: Students from Gibraltar, both sexes (number)"
26641,"Inbound internationally mobile students from Caribbean and Central America: Students from Anguilla, both sexes (number)"
26642,"Inbound internationally mobile students from Caribbean and Central America: Students from the Cayman Islands, both sexes (number)"
26643,"Inbound internationally mobile students from Caribbean and Central America: Students from Montserrat, both sexes (number)"
26644,"Inbound internationally mobile students from Oceania: Students from the Marshall Islands, both sexes (number)"
26645,"Inbound internationally mobile students from Oceania: Students from the Federated States of Micronesia, both sexes (number)"
26646,"Inbound internationally mobile students from Oceania: Students from Nauru, both sexes (number)"
26647,"Inbound internationally mobile students from Oceania: Students from Tokelau, both sexes (number)"
26648,"Inbound internationally mobile students from North America, both sexes (number)"
26650,"Inbound internationally mobile students from the Caribbean and Central America, both sexes (number)"
26651,"Inbound internationally mobile students from Caribbean and Central America: Students from unknown countries, both sexes (number)"
26652,"Inbound internationally mobile students from Europe: Students from Montenegro, both sexes (number)"
299902,Official entrance age to pre-primary education (years)
299905,Official entrance age to primary education (years)
299929,Theoretical duration of pre-primary education (years)
299932,Theoretical duration of primary education (years)
400,Duration of compulsory education (years)
40032,"Enrolment in early childhood educational development programmes, male (number)"
40033,"Enrolment in pre-primary education, male (number)"
40034,"Enrolment in early childhood education, male (number)"
40035,"Enrolment in primary education, male (number)"
40038,"Enrolment in lower secondary education, male (number)"
40041,"Enrolment in upper secondary education, male (number)"
40044,"Enrolment in secondary education, male (number)"
40047,"Enrolment in post-secondary non-tertiary education, male (number)"
40050,"Enrolment in early childhood educational development programmes, female (number)"
40051,"Enrolment in early childhood education, female (number)"
40054,"Enrolment in early childhood educational development programmes, both sexes (number)"
40055,"Enrolment in early childhood education, both sexes (number)"
401,Official entrance age to compulsory education (years)
403,Start month of the academic school year (pre-primary to post-secondary non-tertiary education)
404,End month of the academic school year (pre-primary to post-secondary non-tertiary education)
405,Start of the academic school year (pre-primary to post-secondary non tertiary education)
406,End of the academic school year (pre-primary to post-secondary non tertiary education)
41906,"Repeaters in Grade 1 of primary education, male (number)"
41907,"Repeaters in Grade 2 of primary education, male (number)"
41908,"Repeaters in Grade 3 of primary education, male (number)"
41909,"Repeaters in Grade 4 of primary education, male (number)"
41910,"Repeaters in Grade 5 of primary education, male (number)"
41911,"Repeaters in Grade 6 of primary education, male (number)"
41912,"Repeaters in Grade 7 of primary education, male (number)"
41913,"Repeaters in grade unknown of primary education, male (number)"
41914,"Repeaters in primary education, all grades, male (number)"
41915,"Repeaters in Grade 1 of lower secondary general education, male (number)"
41916,"Repeaters in Grade 2 of lower secondary general education, male (number)"
41917,"Repeaters in Grade 3 of lower secondary general education, male (number)"
41918,"Repeaters in Grade 4 of lower secondary general education, male (number)"
41919,"Repeaters in Grade 5 of lower secondary general education, male (number)"
41920,"Repeaters in Grade 6 of lower secondary general education, male (number)"
41921,"Repeaters in grade unknown of lower secondary general education, male (number)"
41922,"Repeaters in lower secondary general education, all grades, male (number)"
41924,"Repeaters in Grade 1 of lower secondary general education, female (number)"
41925,"Repeaters in Grade 2 of lower secondary general education, female (number)"
41926,"Repeaters in Grade 3 of lower secondary general education, female (number)"
41927,"Repeaters in Grade 4 of lower secondary general education, female (number)"
41928,"Repeaters in Grade 5 of lower secondary general education, female (number)"
41929,"Repeaters in Grade 6 of lower secondary general education, female (number)"
41930,"Repeaters in grade unknown of lower secondary general education, female (number)"
41931,"Repeaters in lower secondary general education, all grades, female (number)"
