indicator_id,country_id,year,value,magnitude,qualifier
AIR.1.GLAST,TGO,2012,73.2405916294769,,
AIR.1.GLAST,TGO,2013,76.72079852672051,,
AIR.1.GLAST,TGO,2014,83.0191862165141,,
AIR.1.GLAST,TGO,2016,92.99580568362994,,
AIR.1.GLAST,TGO,2017,90.89084364594463,,
AIR.1.GLAST,TGO,2018,87.8468202323446,,
AIR.1.GLAST,TGO,2019,84.32486823191184,,
AIR.1.GLAST,TGO,2020,84.51386017644026,,
AIR.1.GLAST,TGO,2021,85.53836338967213,,
AIR.1.GLAST,TGO,2022,85.7062307406517,,
AIR.1.GLAST,TGO,2023,87.31582457751176,,
AIR.1.GLAST,TGO,2024,91.21931853488452,,
AIR.1.GLAST.F,TGO,1971,11.84537982940674,,
AIR.1.GLAST.F,TGO,1972,14.88630962371826,,
AIR.1.GLAST.F,TGO,1976,20.93283081054688,,
AIR.1.GLAST.F,TGO,1978,27.95161056518555,,
AIR.1.GLAST.F,TGO,1979,29.08004951477051,,
AIR.1.GLAST.F,TGO,1980,30.45022964477539,,
AIR.1.GLAST.F,TGO,1981,28.49485969543457,,UIS_EST
AIR.1.GLAST.F,TGO,1982,28.01148986816406,,
AIR.1.GLAST.F,TGO,1983,27.59145927429199,,
AIR.1.GLAST.F,TGO,1984,23.37762069702148,,
AIR.1.GLAST.F,TGO,1985,18.55388069152832,,
AIR.1.GLAST.F,TGO,1986,19.14257049560547,,
AIR.1.GLAST.F,TGO,1987,18.20548057556152,,
AIR.1.GLAST.F,TGO,1988,22.50227928161621,,
AIR.1.GLAST.F,TGO,1989,17.60408020019531,,
AIR.1.GLAST.F,TGO,1990,21.79207038879395,,
AIR.1.GLAST.F,TGO,1991,22.16654014587402,,
AIR.1.GLAST.F,TGO,1992,22.95380973815918,,
AIR.1.GLAST.F,TGO,1994,19.224609375,,
AIR.1.GLAST.F,TGO,1995,26.61882019042969,,
AIR.1.GLAST.F,TGO,1996,30.42787933349609,,
AIR.1.GLAST.F,TGO,1999,39.93215179443359,,
AIR.1.GLAST.F,TGO,2000,48.46633911132813,,
AIR.1.GLAST.F,TGO,2001,55.25537109375,,
AIR.1.GLAST.F,TGO,2003,57.97513961791992,,
AIR.1.GLAST.F,TGO,2004,60.21424102783203,,
AIR.1.GLAST.F,TGO,2005,59.74776840209961,,
AIR.1.GLAST.F,TGO,2006,59.89157104492188,,
AIR.1.GLAST.F,TGO,2008,54.15158843994141,,
AIR.1.GLAST.F,TGO,2009,54.34468078613281,,
AIR.1.GLAST.F,TGO,2010,59.41832123089422,,
AIR.1.GLAST.F,TGO,2011,61.37823080620709,,
AIR.1.GLAST.F,TGO,2012,65.53741398738882,,
AIR.1.GLAST.F,TGO,2013,70.55835197613722,,
AIR.1.GLAST.F,TGO,2014,77.52458160183483,,
AIR.1.GLAST.F,TGO,2016,89.91820516447763,,
AIR.1.GLAST.F,TGO,2017,87.36768189154631,,
AIR.1.GLAST.F,TGO,2018,85.7050661503711,,
AIR.1.GLAST.F,TGO,2019,82.75541525858647,,
AIR.1.GLAST.F,TGO,2020,83.22599421683128,,
AIR.1.GLAST.F,TGO,2021,83.50537927277679,,
AIR.1.GLAST.F,TGO,2022,84.15352678768606,,
AIR.1.GLAST.F,TGO,2023,86.96009944499886,,
AIR.1.GLAST.F,TGO,2024,90.9533532275797,,
AIR.1.GLAST.GPIA,TGO,1971,.3440099954605103,,
AIR.1.GLAST.GPIA,TGO,1972,.3613100051879883,,
AIR.1.GLAST.GPIA,TGO,1976,.3634200096130371,,
AIR.1.GLAST.GPIA,TGO,1978,.4151900112628937,,
AIR.1.GLAST.GPIA,TGO,1979,.4430699944496155,,
AIR.1.GLAST.GPIA,TGO,1980,.4512099921703339,,
AIR.1.GLAST.GPIA,TGO,1981,.452890008687973,,UIS_EST
AIR.1.GLAST.GPIA,TGO,1982,.4750399887561798,,
AIR.1.GLAST.GPIA,TGO,1983,.4798699915409088,,
AIR.1.GLAST.GPIA,TGO,1984,.4627699851989746,,
AIR.1.GLAST.GPIA,TGO,1985,.421999990940094,,
AIR.1.GLAST.GPIA,TGO,1986,.4437800049781799,,
AIR.1.GLAST.GPIA,TGO,1987,.4365099966526031,,
AIR.1.GLAST.GPIA,TGO,1988,.475600004196167,,
AIR.1.GLAST.GPIA,TGO,1989,.4482299983501434,,
AIR.1.GLAST.GPIA,TGO,1990,.4661099910736084,,
AIR.1.GLAST.GPIA,TGO,1991,.4757100045681,,
AIR.1.GLAST.GPIA,TGO,1992,.484279990196228,,
AIR.1.GLAST.GPIA,TGO,1994,.4939500093460083,,
AIR.1.GLAST.GPIA,TGO,1995,.4858300089836121,,
AIR.1.GLAST.GPIA,TGO,1996,.4797100126743317,,
AIR.1.GLAST.GPIA,TGO,1999,.5554500222206116,,
AIR.1.GLAST.GPIA,TGO,2000,.5971699953079224,,
AIR.1.GLAST.GPIA,TGO,2001,.6340699791908264,,
AIR.1.GLAST.GPIA,TGO,2003,.6988300085067749,,
AIR.1.GLAST.GPIA,TGO,2004,.7219799757003784,,
AIR.1.GLAST.GPIA,TGO,2005,.7273899912834167,,
AIR.1.GLAST.GPIA,TGO,2006,.7359700202941895,,
AIR.1.GLAST.GPIA,TGO,2008,.7313699722290039,,
