indicator_id,indicator_label_en,country_id,year,value,magnitude,qualifier
CR.1.Q1.GPIA,"Completion rate, primary education, poorest quintile, adjusted gender parity index (GPIA)",TGO,2010,.7123799920082092,,
CR.1.Q1.GPIA,"Completion rate, primary education, poorest quintile, adjusted gender parity index (GPIA)",TGO,2014,.74617999792099,,
CR.1.Q1.GPIA,"Completion rate, primary education, poorest quintile, adjusted gender parity index (GPIA)",TGO,2017,.8180299997329712,,
CR.1.Q1.M,"Completion rate, primary education, poorest quintile, male (%)",TGO,2006,38.5112190246582,,
CR.1.Q1.M,"Completion rate, primary education, poorest quintile, male (%)",TGO,2010,33.37245178222656,,
CR.1.Q1.M,"Completion rate, primary education, poorest quintile, male (%)",TGO,2014,45.62860870361328,,
CR.1.Q1.M,"Completion rate, primary education, poorest quintile, male (%)",TGO,2017,67.42353820800781,,
CR.1.Q2,"Completion rate, primary education, second quintile, both sexes (%)",TGO,2000,24.93,,
CR.1.Q2,"Completion rate, primary education, second quintile, both sexes (%)",TGO,2006,42.405029296875,,
CR.1.Q2,"Completion rate, primary education, second quintile, both sexes (%)",TGO,2010,41.80265045166016,,
CR.1.Q2,"Completion rate, primary education, second quintile, both sexes (%)",TGO,2014,45.40353012084961,,
CR.1.Q2,"Completion rate, primary education, second quintile, both sexes (%)",TGO,2017,77.26222229003906,,
CR.1.Q2.F,"Completion rate, primary education, second quintile, female (%)",TGO,2006,39.83282852172852,,
CR.1.Q2.F,"Completion rate, primary education, second quintile, female (%)",TGO,2010,31.93379020690918,,
CR.1.Q2.F,"Completion rate, primary education, second quintile, female (%)",TGO,2014,41.44419097900391,,
CR.1.Q2.F,"Completion rate, primary education, second quintile, female (%)",TGO,2017,71.13585662841797,,
CR.1.Q2.GPIA,"Completion rate, primary education, second quintile, adjusted gender parity index (GPIA)",TGO,2006,.9154700040817261,,
CR.1.Q2.GPIA,"Completion rate, primary education, second quintile, adjusted gender parity index (GPIA)",TGO,2010,.6543099880218506,,
CR.1.Q2.GPIA,"Completion rate, primary education, second quintile, adjusted gender parity index (GPIA)",TGO,2014,.8607800006866455,,
CR.1.Q2.GPIA,"Completion rate, primary education, second quintile, adjusted gender parity index (GPIA)",TGO,2017,.8665400147438049,,
